times,arg
23:18:40.325,3.30456
23:18:40.373,3.43049
23:18:40.438,3.5531
23:18:40.503,3.64122
23:18:40.564,3.71913
23:18:40.611,3.79271
23:18:40.678,3.85443
23:18:40.741,3.92964
23:18:40.805,4.02063
23:18:40.850,4.10218
23:18:40.914,4.1745
23:18:40.980,4.23229
23:18:41.045,4.27523
23:18:41.093,4.32529
23:18:41.157,4.36508
23:18:41.220,4.39781
23:18:41.284,4.43196
23:18:41.331,4.45614
23:18:41.398,4.48244
23:18:41.461,4.50215
23:18:41.524,4.5325
23:18:41.573,4.54439
23:18:41.636,4.56836
23:18:41.701,4.5713
23:18:41.766,4.5896
23:18:41.811,4.60636
23:18:41.876,4.60044
23:18:41.941,4.58989
23:18:42.005,4.58248
23:18:42.053,4.57274
23:18:42.116,4.58826
23:18:42.181,4.59318
23:18:42.245,4.59777
23:18:42.292,4.58424
23:18:42.354,4.59237
23:18:42.421,4.59281
23:18:42.484,4.58583
23:18:42.531,4.60328
23:18:42.596,4.61648
23:18:42.662,4.62613
23:18:42.723,4.64558
23:18:42.770,4.65454
23:18:42.838,4.66253
23:18:42.901,4.6853
23:18:42.964,4.67659
23:18:43.013,4.68882
23:18:43.076,4.69689
23:18:43.141,4.70761
23:18:43.205,4.70549
23:18:43.252,4.71639
23:18:43.316,4.72303
23:18:43.380,4.72784
23:18:43.428,4.72604
23:18:43.493,4.73404
23:18:43.557,4.73814
23:18:43.621,4.75125
23:18:43.668,4.7502
23:18:43.732,4.74502
23:18:43.797,4.74931
23:18:43.861,4.75731
23:18:43.908,4.75888
23:18:43.974,4.76293
23:18:44.037,4.77239
23:18:44.101,4.76298
23:18:44.148,4.77258
23:18:44.212,4.77899
23:18:44.277,4.77984
23:18:44.341,4.78201
23:18:44.393,4.77415
23:18:44.452,4.77006
23:18:44.517,4.77326
23:18:44.580,4.76751
23:18:44.630,4.76956
23:18:44.692,4.76433
23:18:44.757,4.77075
23:18:44.821,4.77465
23:18:44.866,4.77114
23:18:44.931,4.77408
23:18:44.997,4.78598
23:18:45.060,4.78306
23:18:45.109,4.7816
23:18:45.175,4.78042
23:18:45.237,4.79137
23:18:45.301,4.79016
23:18:45.349,4.78899
23:18:45.412,4.79619
23:18:45.478,4.78867
23:18:45.540,4.79525
23:18:45.589,4.79288
23:18:45.651,4.79468
23:18:45.717,4.79271
23:18:45.780,4.79226
23:18:45.828,4.79372
23:18:45.892,4.79527
23:18:45.954,4.78739
23:18:46.021,4.79473
23:18:46.068,4.78699
23:18:46.133,4.79377
23:18:46.197,4.79716
23:18:46.259,4.80011
23:18:46.308,4.79601
23:18:46.373,4.80127
23:18:46.436,4.80006
23:18:46.501,4.80447
23:18:46.547,4.80615
23:18:46.613,4.79927
23:18:46.679,4.80325
23:18:46.744,4.80217
23:18:46.788,4.80302
23:18:46.853,4.79979
23:18:46.919,4.80386
23:18:46.981,4.80017
23:18:47.029,4.80733
23:18:47.092,4.81103
23:18:47.161,4.8028
23:18:47.221,4.81162
23:18:47.270,4.80303
23:18:47.336,4.80741
23:18:47.397,4.81212
23:18:47.461,4.81813
23:18:47.511,4.80993
23:18:47.577,4.82114
23:18:47.637,4.81482
23:18:47.702,4.81956
23:18:47.751,4.8223
23:18:47.812,4.82268
23:18:47.879,4.83301
23:18:47.942,4.84529
23:18:47.989,4.8312
23:18:48.053,4.84456
23:18:48.119,4.84408
23:18:48.181,4.85459
23:18:48.235,4.86265
23:18:48.294,4.86768
23:18:48.360,4.88201
23:18:48.422,4.89432
23:18:48.472,4.89927
23:18:48.536,4.8953
23:18:48.597,4.89973
23:18:48.662,4.89626
23:18:48.711,4.90752
23:18:48.774,4.90593
23:18:48.839,4.90441
23:18:48.902,4.899
23:18:48.951,4.89098
23:18:49.014,4.89458
23:18:49.077,4.89894
23:18:49.145,4.89035
23:18:49.189,4.88983
23:18:49.252,4.8854
23:18:49.316,4.89177
23:18:49.381,4.88734
23:18:49.429,4.89701
23:18:49.492,4.89048
23:18:49.562,4.88455
23:18:49.621,4.89534
23:18:49.669,4.89463
23:18:49.732,4.88904
23:18:49.798,4.89202
23:18:49.860,4.89886
23:18:49.920,4.89526
23:18:49.975,4.89841
23:18:50.047,4.89008
23:18:50.102,4.8963
23:18:50.152,4.90477
23:18:50.212,4.89531
23:18:50.275,4.89256
23:18:50.340,4.89427
23:18:50.388,4.89899
23:18:50.451,4.89904
23:18:50.517,4.90346
23:18:50.580,4.90489
23:18:50.627,4.90487
23:18:50.693,4.90578
23:18:50.755,4.9092
23:18:50.805,4.92332
23:18:50.866,4.9264
23:18:50.930,4.92726
23:18:50.997,4.92513
23:18:51.045,4.92412
23:18:51.108,4.93021
23:18:51.171,4.92939
23:18:51.237,4.93117
23:18:51.285,4.93911
23:18:51.349,4.93588
